sigla_uf,id_municipio,municipio,tecnologia,capacidade_backhaul
SP,3550506,São Pedro do Turvo,Radio + Fibra + SDH-NG,8
SP,3551207,Sarutaiá,Fibra + SDH-NG,8
SP,3551306,Sebastianópolis do Sul,Fibra + SDH-NG,8
SP,3551405,Serra Azul,Radio + Fibra + SDH-NG,8
SP,3552007,Silveiras,Radio + Fibra + SDH-NG,8
SP,3552304,Sud Mennucci,Radio + Fibra + SDH-NG,8
SP,3552551,Suzanápolis,Radio + Fibra + SDH-NG,8
SP,3552601,Tabapuã,Radio + Fibra + SDH-NG,8
SP,3552908,Taciba,Fibra + SDH-NG,8
SP,3553005,Taguaí,Radio + Fibra + SDH-NG,8
SP,3553104,Taiaçu,Radio + Fibra + SDH-NG,8
SP,3553203,Taiúva,Radio + Fibra + SDH-NG,8
SP,3553500,Tapiraí,Radio + Fibra + SDH-NG,8
SP,3553658,Taquaral,Radio + Fibra + SDH-NG,8
SP,3553856,Taquarivaí,Radio + Fibra + SDH-NG,8
SP,3553906,Tarabai,Fibra + SDH-NG,8
SP,3554201,Tejupá,Radio + Fibra + SDH-NG,8
SP,3554607,Timburi,Radio + Fibra + SDH-NG,8
SP,3554656,Torre de Pedra,Radio + Fibra + SDH-NG,8
SP,3554755,Trabiju,Fibra + SDH-NG,8
SP,3554904,Três Fronteiras,Fibra + SDH-NG,8
SP,3554953,Tuiuti,Fibra + SDH-NG,8
SP,3555208,Turiúba,Fibra + SDH-NG,8
SP,3555307,Turmalina,Radio + Fibra + SDH-NG,8
SP,3555356,Ubarana,Fibra + SDH-NG,8
SP,3555505,Ubirajara,Radio + Fibra + SDH-NG,8
SP,3555703,União Paulista,Fibra + SDH-NG,8
SP,3555901,Uru,Radio + Fibra + SDH-NG,8
SP,3556107,Valentim Gentil,Fibra + SDH-NG,8
SP,3556909,Vista Alegre do Alto,Radio + Fibra + SDH-NG,8
SP,3556958,Vitória Brasil,Fibra + SDH-NG,8
SP,3557154,Zacarias,Fibra + SDH-NG,8
RS,4314548,Pinto Bandeira,Radio,8
AC,1200252,Epitaciolândia,Radio,8
AC,1200393,Porto Walter,Radio,8
AM,1300631,Beruri,Satelite,4
PA,1502152,Canaã dos Carajás,Satelite,4
PA,1504109,Magalhães Barata,Radio,8
PA,1506005,Prainha,Satelite,4
PA,1506906,Santarém Novo,Radio,8
PA,1507466,São João da Ponta,Radio,8
PA,1507961,Terra Alta,Radio,8
TO,1700251,Abreulândia,Radio,8
TO,1703073,Barra do Ouro,Radio,8
TO,1703305,Bom Jesus do Tocantins,Radio,8
TO,1703826,Cachoeirinha,Radio,8
TO,1703883,Carmolândia,Radio,8
TO,1703891,Carrasco Bonito,Fibra,8
TO,1704105,Centenário,Radio,8
TO,1704600,Chapada de Areia,Radio,8
TO,1705102,Chapada da Natividade,Fibra,8
TO,1706258,Crixás do Tocantins,Fibra,8
TO,1708304,Goianorte,Radio,8
TO,1709807,Ipueiras,Radio,8
TO,1711506,Jaú do Tocantins,Fibra,8
TO,1711803,Juarina,Radio,8
TO,1711951,Lagoa do Tocantins,Radio,8
TO,1712157,Lavandeira,Radio,8
TO,1712405,Lizarda,Radio,8
TO,1712454,Luzinópolis,Fibra,8
TO,1713700,Monte Santo do Tocantins,Radio,8
TO,1713957,Muricilândia,Radio,8
TO,1715259,Novo Jardim,Radio,8
TO,1715507,Oliveira de Fátima,Fibra,8
TO,1715705,Palmeirante,Radio,8
TO,1717206,Piraquê,Radio,8
TO,1718659,Rio da Conceição,Radio,8
TO,1718758,Rio Sono,Radio,8
TO,1718808,Sampaio,Radio,8
TO,1718840,Sandolândia,Radio,8
TO,1718899,Santa Rita do Tocantins,Fibra,8
TO,1719004,Santa Tereza do Tocantins,Radio,8
TO,1720002,Santa Terezinha do Tocantins,Radio,8
TO,1720101,São Bento do Tocantins,Fibra,8
TO,1720150,São Félix do Tocantins,Radio,8
TO,1720200,São Miguel do Tocantins,Radio,8
TO,1720853,Sucupira,Radio,8
TO,1720937,Taipas do Tocantins,Radio,8
TO,1721257,Tupirama,Fibra,8
MA,2100501,Alto Parnaíba,Fibra,8
MA,2101350,Bacurituba,Radio,8
MA,2101806,Benedito Leite,Fibra,8
MA,2102150,Brejo de Areia,Radio,8
MA,2102374,Cachoeira Grande,Radio,8
MA,2105351,Itaipava do Grajaú,Radio,8
MA,2105450,Jatobá,Radio,8
MA,2105609,Joselândia,Radio,8
MA,2106359,Marajá do Sena,Radio,8
MA,2107308,Nova Iorque,Radio,8
MA,2109056,Porto Rico do Maranhão,Fibra,8
MA,2109403,Primeira Cruz,Radio,8
MA,2109700,Sambaíba,Radio,8
MA,2109759,Santa Filomena do Maranhão,Radio,8
MA,2110906,São Francisco do Maranhão,Fibra,8
MA,2111250,São José dos Basílios,Fibra,8
MA,2111631,São Raimundo do Doca Bezerra,Radio,8
MA,2111953,Sucupira do Riachão,Radio,8
PI,2200053,Acauã,Radio,8
PI,2200251,Alagoinha do Piauí,Radio,8
PI,2200459,Alvorada do Gurguéia,Radio,8
PI,2200954,Aroeiras do Itaim,Radio,8
PI,2201051,Assunção do Piauí,Radio,8
PI,2201556,Bela Vista do Piauí,Radio,8
PI,2201739,Betânia do Piauí,Radio,8
PI,2201770,Boa Hora,Radio,8
PI,2201919,Bom Princípio do Piauí,Radio,8
PI,2201988,Brejo do Piauí,Radio,8
PI,2202026,Buriti dos Montes,Radio,8
PI,2202059,Cabeceiras do Piauí,Radio,8
PI,2202075,Cajazeiras do Piauí,Radio,8
PI,2202091,Caldeirão Grande do Piauí,Radio,8
PI,2202109,Campinas do Piauí,Radio,8
PI,2202117,Campo Alegre do Fidalgo,Radio,8
PI,2202133,Campo Grande do Piauí,Fibra,8
